år,Value,Utdanningsnivå - scenario
2033,4.28240903011576,Fagskolenivå - scenario3
2032,4.23140824609141,Fagskolenivå - scenario3
2000,4.2,UH_lang - historisk
2025,4.18040746206706,Fagskolenivå - scenario2
2027,4.18040746206706,Fagskolenivå - scenario1
2031,4.18040746206706,Fagskolenivå - scenario3
2035,4.17145869574055,Studiekompetanse - scenario2
2030,4.12940667804271,Fagskolenivå - scenario3
2026,4.07840589401835,Fagskolenivå - scenario1
2029,4.07840589401835,Fagskolenivå - scenario3
2028,4.027405109994,Fagskolenivå - scenario3
2024,3.97640432596965,Fagskolenivå - scenario2
2025,3.97640432596965,Fagskolenivå - scenario1
2027,3.97640432596965,Fagskolenivå - scenario3
2026,3.9254035419453,Fagskolenivå - scenario3
2024,3.87440275792095,Fagskolenivå - scenario1
2025,3.87440275792095,Fagskolenivå - scenario3
2024,3.8234019738966,Fagskolenivå - scenario3
2023,3.7,Fagskolenivå - historisk
2022,3.6,Fagskolenivå - historisk
2021,3.5,Fagskolenivå - historisk
2020,3.4,Fagskolenivå - historisk
2018,3.3,Fagskolenivå - historisk
2019,3.3,Fagskolenivå - historisk
2016,3.2,Fagskolenivå - historisk
2017,3.2,Fagskolenivå - historisk
